ID_TERRITORIO,CODIGO,ID_NIVEL_TERRITORIAL,DESCRIPCION,ID_TERRITORIO_PADRE,PATH_DESCRIPCION,PATH_ID,PATH_CODIGO,NOMECLATURA,PATH_NOMECLATURA
1058,59,5,"SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO) ",204,"ECUADOR AZUAY PAUTE SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO) ","1,2,204,1058","593 01 05 59",SAN,"EC AZU PAU SAN"
1059,61,5,TOMEBAMBA,204,"ECUADOR AZUAY PAUTE TOMEBAMBA","1,2,204,1059","593 01 05 61",TOM,"EC AZU PAU TOM"
1060,62,5,"DUG DUG",204,"ECUADOR AZUAY PAUTE DUG DUG","1,2,204,1060","593 01 05 62",DUG,"EC AZU PAU DUG"
1061,50,8,"PUCARÁ, CABECERA CANTONAL",205,"ECUADOR AZUAY PUCARÁ PUCARÁ, CABECERA CANTONAL","1,2,205,1061","593 01 06 50",PUC,"EC AZU PUC PUC"
1062,52,5,"SAN RAFAEL DE SHARUG",205,"ECUADOR AZUAY PUCARÁ SAN RAFAEL DE SHARUG","1,2,205,1062","593 01 06 52",SAN,"EC AZU PUC SAN"
1063,50,8,"SAN FERNANDO, CABECERA CANTONAL",206,"ECUADOR AZUAY SAN FERNANDO SAN FERNANDO, CABECERA CANTONAL","1,2,206,1063","593 01 07 50",SAN,"EC AZU SFE SAN"
1064,51,5,CHUMBLÍN,206,"ECUADOR AZUAY SAN FERNANDO CHUMBLÍN","1,2,206,1064","593 01 07 51",CHU,"EC AZU SFE CHU"
1065,50,8,"SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL",207,"ECUADOR AZUAY SANTA ISABEL SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL","1,2,207,1065","593 01 08 50",SAN,"EC AZU SIS SAN"
1066,51,5,"ABDÓN CALDERÓN  (LA UNIÓN) ",207,"ECUADOR AZUAY SANTA ISABEL ABDÓN CALDERÓN  (LA UNIÓN) ","1,2,207,1066","593 01 08 51",ABD,"EC AZU SIS ABD"
1067,53,5,"ZHAGLLI (SHAGLLI)",207,"ECUADOR AZUAY SANTA ISABEL ZHAGLLI (SHAGLLI)","1,2,207,1067","593 01 08 53",ZHA,"EC AZU SIS ZHA"
1068,54,5,"SAN SALVADOR DE CAÑARIBAMBA",207,"ECUADOR AZUAY SANTA ISABEL SAN SALVADOR DE CAÑARIBAMBA","1,2,207,1068","593 01 08 54",SAN,"EC AZU SIS SAN"
1069,50,8,"SIGSIG, CABECERA CANTONAL",208,"ECUADOR AZUAY SIGSIG SIGSIG, CABECERA CANTONAL","1,2,208,1069","593 01 09 50",SIG,"EC AZU SIG SIG"
1070,51,5,"CUCHIL (CUTCHIL) ",208,"ECUADOR AZUAY SIGSIG CUCHIL (CUTCHIL) ","1,2,208,1070","593 01 09 51",CUC,"EC AZU SIG CUC"
1071,52,5,GIMA,208,"ECUADOR AZUAY SIGSIG GIMA","1,2,208,1071","593 01 09 52",GIM,"EC AZU SIG GIM"
1072,53,5,GUEL,208,"ECUADOR AZUAY SIGSIG GUEL","1,2,208,1072","593 01 09 53",GUE,"EC AZU SIG GUE"
1073,54,5,LUDO,208,"ECUADOR AZUAY SIGSIG LUDO","1,2,208,1073","593 01 09 54",LUD,"EC AZU SIG LUD"
